id,name,address,total_area,remaining_area
1,Melaniefort 11,"79190 Justin Circles, Ramirezbury, FM 54296",11991,11823
2,North Jonathanmouth 45,"210 Jessica Fort, Williamsberg, ID 13713",9774,9234
3,Wesleyberg 14,"79593 Carr Fall, Wongfurt, CT 18494",2705,2070
4,Kyleland 62,"01786 Jordan Estate, Marthaland, ND 67590",5513,5359
5,Stewartmouth 85,"997 Park Cliffs, Kristinchester, WI 18727",3625,3447
6,Adrianfort 36,"997 Justin Square, Lake Williamburgh, PA 44742",11561,11241
7,South Meganhaven 20,"952 Karen Common, South Matthew, GA 11108",9779,9346
8,West Davidview 6,"32663 Edwards Station Apt. 959, North Donna, NJ 05087",4832,3959
9,Powerschester 43,"Unit 1648 Box 0915, DPO AA 07946",1021,203
10,West Dianehaven 100,"91957 Eric Stravenue, South Yolandaview, MO 12371",8849,7958
11,Smithchester 94,"9556 David Station, New Jeremiah, AR 01197",1400,1017
12,New Thomas 68,"USNS Duncan, FPO AA 58730",7009,6956
13,Anthonyfort 96,"70639 Melvin Islands Apt. 151, East Melissastad, CO 04953",7641,7609
14,Thomasside 52,"69346 Jermaine Groves, East Jameshaven, AS 61908",2532,2215
15,Cheyennestad 4,"86839 Phillips Lane, Christopherton, UT 31988",10415,9510
16,New Cassandra 16,"90905 Martinez Park, West Jacob, GU 50858",7886,7661
17,Lucasside 66,"1135 Bentley Avenue, Steveville, TN 54764",6962,6244
18,Richardhaven 38,"81783 Wendy Squares Apt. 324, Marshallchester, VI 79162",2478,1909
19,East Jamesburgh 29,"1469 Samantha View, East Jaimefort, MH 55123",7730,7060
20,West Kimberly 30,"0955 Carolyn Extension, Gardnerville, MT 90498",6465,5748
